epoch,train_loss,val_loss,val_acc,val_f1,lr
1,0.3692469922709762,0.2306178156286478,1.0,1.0,8e-06
2,0.1894041157918847,0.17824218329042196,1.0,1.0,8e-06
3,0.1570878091009326,0.16087386570870876,1.0,1.0,8e-06
4,0.14757139207911193,0.1664559319615364,1.0,1.0,4e-06
5,0.1462924843383528,0.1376157496124506,1.0,1.0,4e-06
6,0.1397931483956788,0.1446163239888847,1.0,1.0,4e-06
7,0.14046949887053106,0.15046316804364324,1.0,1.0,2e-06
8,0.13883381414215595,0.13450789265334606,1.0,1.0,2e-06
9,0.1382994269063364,0.13268740009516478,1.0,1.0,2e-06
10,0.13856690454285175,0.13833954650908709,1.0,1.0,1e-06
11,0.13887594541326104,0.15011786809191108,1.0,1.0,1e-06
12,0.14188206013431193,0.13939505955204368,1.0,1.0,1e-06
13,0.14165573696996167,0.14538236428052187,1.0,1.0,5e-07
14,0.13733094717333424,0.1388108106330037,1.0,1.0,5e-07
15,0.1406761923518913,0.13353224797174335,1.0,1.0,5e-07
16,0.1353568834758893,0.143916891887784,1.0,1.0,2.5e-07
17,0.1404721674768262,0.1467612055130303,1.0,1.0,2.5e-07
18,0.13602868498484624,0.13505998207256198,1.0,1.0,2.5e-07
19,0.13645696463797596,0.1334836781024933,1.0,1.0,1.25e-07
20,0.13718861155984807,0.13796062907204032,1.0,1.0,1.25e-07
21,0.1365479817961756,0.1366158239543438,1.0,1.0,1.25e-07
22,0.13433610960161044,0.1388205699622631,1.0,1.0,8e-08
23,0.13638639700486946,0.1367256552912295,1.0,1.0,8e-08
24,0.13590370838943852,0.14166355645284057,1.0,1.0,8e-08
25,0.13844474216467118,0.1546074072830379,1.0,1.0,8e-08
26,0.13863054706224268,0.13815501984208822,1.0,1.0,8e-08
27,0.13563804464468818,0.1386411148123443,1.0,1.0,8e-08
28,0.13526295595396604,0.138558364007622,1.0,1.0,8e-08
29,0.13579304346281462,0.14762877533212304,1.0,1.0,8e-08
30,0.13571597867610544,0.1409716228954494,1.0,1.0,8e-08
